id,c_date,campaign_name,category,campaign_id,impressions, mark_spent ,clicks,leads,orders,Conversion Rate, revenue ,Profit,CPC,CTR,,
52,1/5/21,facebook_retargeting,social,4387490,53167," $5,564.83 ",1693,31,5,16.13%," $21,754 "," $16,189 ",,,,
53,1/5/21,facebook_lal,social,544756,558127," $203,427.90 ",5888,105,24,22.86%," $8,992 "," $(194,436)",,,,
54,1/5/21,instagram_blogger,influencer,374754,2169168," $31,789.12 ",16702,57,8,14.04%," $38,378 "," $6,589 ",,,,
55,1/5/21,banner_partner,media,39889,7877011," $391,681.34 ",18453,763,98,12.84%," $440,347 "," $48,666 ",,,,
56,1/6/21,facebook_tier1,social,349043,352926," $36,438.26 ",2521,64,7,10.94%," $52,290 "," $15,852 ",,,,
57,1/6/21,facebOOK_tier2,social,348934,469876," $58,280.10 ",3350,112,9,8.04%," $37,785 "," $(20,495)",,,,
58,1/6/21,google_hot,search,89459845,39419," $7,604.57 ",1075,11,1,9.09%," $9,323 "," $1,718 ",,,,
59,1/6/21,google_wide,search,127823,457790," $23,451.92 ",2093,39,5,12.82%," $14,355 "," $(9,097)",,,,
60,1/6/21,youtube_blogger,influencer,10934,489961," $84,511.36 ",3661,156,28,17.95%," $245,249 "," $160,738 ",,,,
61,1/6/21,instagram_tier1,social,9034945,354013," $2,936.66 ",3113,12,1,8.33%," $5,751 "," $2,814 ",,,,
62,1/6/21,instagram_tier2,social,983498,1660771," $11,713.64 ",4619,99,4,4.04%," $13,716 "," $2,002 ",,,,
63,1/6/21,facebook_retargeting,social,4387490,10964," $1,167.06 ",323,5,1,20.00%," $6,589 "," $5,422 ",,,,
64,1/6/21,facebook_lal,social,544756,135697," $25,375.36 ",1309,26,3,11.54%," $7,699 "," $(17,676)",,,,
65,1/6/21,instagram_blogger,influencer,374754,269713," $8,372.59 ",3191,20,1,5.00%," $8,304 ", $(69),,,,
66,1/6/21,banner_partner,media,39889,34781253," $31,180.54 ",4854,97,11,11.34%," $48,843 "," $17,662 ",,,,
67,1/7/21,facebook_tier1,social,349043,571579," $23,827.90 ",2163,46,5,10.87%," $29,564 "," $5,736 ",,,,
68,1/7/21,facebOOK_tier2,social,348934,745632," $38,195.71 ",3564,54,4,7.41%," $19,442 "," $(18,754)",,,,
69,1/7/21,google_hot,search,89459845,35921," $6,596.23 ",1023,15,1,6.67%," $12,548 "," $5,952 ",,,,
70,1/7/21,google_wide,search,127823,1332648," $17,957.06 ",2000,38,4,10.53%," $19,869 "," $1,912 ",,,,
71,1/7/21,youtube_blogger,influencer,10934,570414," $32,713.19 ",5234,96,16,16.67%," $105,501 "," $72,788 ",,,,
72,1/7/21,instagram_tier1,social,9034945,1274282," $43,373.62 ",2482,118,13,11.02%," $64,745 "," $21,371 ",,,,
73,1/7/21,instagram_tier2,social,983498,497198," $5,480.41 ",5483,233,2,0.86%," $4,525 ", $(955),,,,
74,1/7/21,facebook_retargeting,social,4387490,8015," $2,958.46 ",287,6,1,16.67%," $4,699 "," $1,741 ",,,,
75,1/7/21,facebook_lal,social,544756,186800," $9,158.32 ",1228,5,0,0.00%, $955 ," $(8,203)",,,,
76,1/7/21,instagram_blogger,influencer,374754,358181," $48,993.22 ",2475,77,13,16.88%," $66,972 "," $17,979 ",,,,
77,1/7/21,banner_partner,media,39889,4719621," $91,206.44 ",3442,146,26,17.81%," $103,248 "," $12,042 ",,,,
78,1/8/21,facebook_tier1,social,349043,441058," $24,127.69 ",2623,30,4,13.33%," $18,601 "," $(5,527)",,,,
79,1/8/21,facebOOK_tier2,social,348934,412099," $28,096.81 ",3441,65,5,7.69%," $32,092 "," $3,995 ",,,,
80,1/8/21,google_hot,search,89459845,48524," $6,728.05 ",815,20,1,5.00%," $15,405 "," $8,677 ",,,,
81,1/8/21,google_wide,search,127823,397188," $13,380.55 ",2381,49,4,8.16%," $15,998 "," $2,617 ",,,,
82,1/8/21,youtube_blogger,influencer,10934,621329," $32,634.48 ",3848,74,19,25.68%," $118,934 "," $86,300 ",,,,
83,1/8/21,instagram_tier1,social,9034945,523166, $394.29 ,2905,0,0,0.00%, $-   , $(394),,,,
84,1/8/21,instagram_tier2,social,983498,1136795," $1,848.76 ",5793,95,1,1.05%," $1,925 ", $76 ,,,,
85,1/8/21,facebook_retargeting,social,4387490,9537," $4,781.41 ",289,9,1,11.11%," $8,169 "," $3,388 ",,,,
86,1/8/21,facebook_lal,social,544756,108174," $36,383.06 ",1188,19,5,26.32%," $4,124 "," $(32,259)",,,,
87,1/8/21,instagram_blogger,influencer,374754,336080," $37,141.41 ",2606,71,10,14.08%," $48,643 "," $11,502 ",,,,
88,1/8/21,banner_partner,media,39889,2554884," $29,327.50 ",3765,68,11,16.18%," $49,073 "," $19,746 ",,,,
89,1/9/21,facebook_tier1,social,349043,565012," $51,602.22 ",2797,62,10,16.13%," $37,498 "," $(14,104)",,,,
90,1/9/21,facebOOK_tier2,social,348934,550880," $54,025.34 ",3130,110,11,10.00%," $46,349 "," $(7,676)",,,,
91,1/9/21,google_hot,search,89459845,48624," $3,533.60 ",942,5,0,0.00%," $6,673 "," $3,139 ",,,,
92,1/9/21,google_wide,search,127823,546164," $21,473.33 ",2601,56,4,7.14%," $14,101 "," $(7,372)",,,,
93,1/9/21,youtube_blogger,influencer,10934,426182," $28,369.36 ",4504,84,18,21.43%," $161,434 "," $133,065 ",,,,
94,1/9/21,instagram_tier1,social,9034945,688201," $9,185.12 ",2392,16,3,18.75%," $20,388 "," $11,203 ",,,,
95,1/9/21,instagram_tier2,social,983498,1179569," $8,682.40 ",5806,100,2,2.00%," $6,807 "," $(1,875)",,,,
96,1/9/21,facebook_retargeting,social,4387490,9405," $2,174.17 ",342,5,1,20.00%," $3,683 "," $1,509 ",,,,
97,1/9/21,facebook_lal,social,544756,208542," $28,573.53 ",1018,24,2,8.33%," $3,011 "," $(25,563)",,,,
98,1/9/21,instagram_blogger,influencer,374754,350358," $49,341.37 ",2831,92,17,18.48%," $79,294 "," $29,953 ",,,,
99,1/9/21,banner_partner,media,39889,3578425," $52,165.63 ",4803,81,15,18.52%," $44,116 "," $(8,050)",,,,
100,1/10/21,facebook_tier1,social,349043,887552," $42,615.96 ",4927,102,7,6.86%," $44,650 "," $2,034 ",,,,
101,1/10/21,facebOOK_tier2,social,348934,946423," $39,962.34 ",7895,139,8,5.76%," $29,848 "," $(10,114)",,,,
102,1/10/21,google_hot,search,89459845,107331," $58,495.92 ",1779,62,11,17.74%," $72,181 "," $13,685 ",,,,
103,1/10/21,google_wide,search,127823,903078," $76,162.84 ",4734,155,17,10.97%," $40,071 "," $(36,092)",,,,
104,1/10/21,youtube_blogger,influencer,10934,1720845," $18,985.24 ",8645,82,15,18.29%," $118,726 "," $99,741 ",,,,
105,1/10/21,instagram_tier1,social,9034945,3322153," $38,409.77 ",4859,212,14,6.60%," $91,302 "," $52,892 ",,,,
106,1/10/21,instagram_tier2,social,983498,2181552," $15,872.32 ",8468,468,3,0.64%," $8,930 "," $(6,942)",,,,
107,1/10/21,facebook_retargeting,social,4387490,18871," $13,383.10 ",582,21,4,19.05%," $23,981 "," $10,598 ",,,,
108,1/10/21,facebook_lal,social,544756,303284," $120,643.67 ",2806,99,15,15.15%," $17,303 "," $(103,341)",,,,
109,1/10/21,instagram_blogger,influencer,374754,473888," $116,443.50 ",7112,211,38,18.01%," $140,682 "," $24,239 ",,,,
110,1/10/21,banner_partner,media,39889,5981973," $193,969.71 ",8837,263,65,24.71%," $212,735 "," $18,765 ",,,,
111,1/11/21,facebook_tier1,social,349043,952691," $125,461.62 ",6482,169,19,11.24%," $88,952 "," $(36,510)",,,,
112,1/11/21,facebOOK_tier2,social,348934,4744397," $191,384.01 ",9659,299,31,10.37%," $132,501 "," $(58,883)",,,,
113,1/11/21,google_hot,search,89459845,144604," $30,356.34 ",2645,43,4,9.30%," $41,381 "," $11,025 ",,,,
114,1/11/21,google_wide,search,127823,1131438," $54,587.24 ",5792,123,13,10.57%," $48,677 "," $(5,910)",,,,
115,1/11/21,youtube_blogger,influencer,10934,1153054," $200,856.96 ",14171,530,97,18.30%," $968,475 "," $767,618 ",,,,
116,1/11/21,instagram_tier1,social,9034945,2094758, $318.08 ,7964,0,0,0.00%, $-   , $(318),,,,
117,1/11/21,instagram_tier2,social,983498,3172165," $4,496.80 ",12665,118,1,0.85%," $2,643 "," $(1,854)",,,,
118,1/11/21,facebook_retargeting,social,4387490,31100," $19,359.82 ",769,26,6,23.08%," $30,795 "," $11,435 ",,,,
119,1/11/21,facebook_lal,social,544756,328651," $5,774.39 ",3327,4,1,25.00%, $631 ," $(5,143)",,,,
120,1/11/21,instagram_blogger,influencer,374754,968990," $138,678.33 ",8866,255,34,13.33%," $133,154 "," $(5,524)",,,,
121,1/11/21,banner_partner,media,39889,5804353," $190,361.75 ",14093,454,56,12.33%," $229,185 "," $38,823 ",,,,
122,1/12/21,facebook_tier1,social,349043,1461282," $97,866.57 ",10736,205,25,12.20%," $111,682 "," $13,815 ",,,,
123,1/12/21,facebOOK_tier2,social,348934,2583464," $185,907.51 ",11676,273,29,10.62%," $173,100 "," $(12,808)",,,,
124,1/12/21,google_hot,search,89459845,179974," $65,351.28 ",3211,79,13,16.46%," $128,120 "," $62,769 ",,,,
125,1/12/21,google_wide,search,127823,1701682," $101,910.01 ",9846,214,21,9.81%," $55,050 "," $(46,860)",,,,
126,1/12/21,youtube_blogger,influencer,10934,1230033," $136,380.87 ",19091,436,67,15.37%," $403,266 "," $266,885 ",,,,
127,1/12/21,instagram_tier1,social,9034945,3700765," $30,681.67 ",10384,135,10,7.41%," $56,439 "," $25,757 ",,,,
128,1/12/21,instagram_tier2,social,983498,8109472," $58,123.98 ",20931,463,12,2.59%," $27,180 "," $(30,944)",,,,
129,1/12/21,facebook_retargeting,social,4387490,49222," $13,438.97 ",1442,32,6,18.75%," $33,659 "," $20,220 ",,,,
130,1/12/21,facebook_lal,social,544756,485624," $53,262.46 ",3907,32,5,15.63%," $7,271 "," $(45,991)",,,,
131,1/12/21,instagram_blogger,influencer,374754,1190312," $320,059.08 ",10813,491,77,15.68%," $329,483 "," $9,424 ",,,,
132,1/12/21,banner_partner,media,39889,10863586," $133,975.94 ",18116,272,43,15.81%," $192,907 "," $58,931 ",,,,
133,1/13/21,facebook_tier1,social,349043,1689858," $340,021.30 ",14085,327,57,17.43%," $291,236 "," $(48,785)",,,,
134,1/13/21,facebOOK_tier2,social,348934,2181923," $286,938.36 ",16646,530,56,10.57%," $310,381 "," $23,443 ",,,,
135,1/13/21,google_hot,search,89459845,238729," $66,826.58 ",5341,91,16,17.58%," $134,017 "," $67,190 ",,,,
136,1/13/21,google_wide,search,127823,3971986," $182,423.65 ",12780,443,51,11.51%," $136,261 "," $(46,163)",,,,
137,1/13/21,youtube_blogger,influencer,10934,2119375," $195,388.69 ",19348,797,132,16.56%," $1,202,382 "," $1,006,993 ",,,,
138,1/13/21,instagram_tier1,social,9034945,2821260," $74,991.90 ",14120,254,24,9.45%," $190,458 "," $115,466 ",,,,
139,1/13/21,instagram_tier2,social,983498,4876573," $14,286.70 ",20507,544,6,1.10%," $9,806 "," $(4,481)",,,,
140,1/13/21,facebook_retargeting,social,4387490,56712," $9,064.11 ",1284,21,3,14.29%," $18,288 "," $9,224 ",,,,
141,1/13/21,facebook_lal,social,544756,402686," $157,513.33 ",6712,141,15,10.64%," $26,704 "," $(130,809)",,,,
142,1/13/21,instagram_blogger,influencer,374754,1680504," $29,050.73 ",15523,57,6,10.53%," $48,267 "," $19,216 ",,,,
143,1/13/21,banner_partner,media,39889,18211239," $458,631.17 ",24846,610,121,19.84%," $415,219 "," $(43,412)",,,,
144,1/14/21,facebook_tier1,social,349043,2917414," $68,705.98 ",13684,117,12,10.26%," $58,514 "," $(10,192)",,,,
145,1/14/21,facebOOK_tier2,social,348934,7591671," $214,968.38 ",20147,469,33,7.04%," $143,021 "," $(71,947)",,,,
146,1/14/21,google_hot,search,89459845,219719," $58,477.30 ",5158,77,12,15.58%," $69,232 "," $10,755 ",,,,
147,1/14/21,google_wide,search,127823,3338648," $164,975.83 ",17199,479,40,8.35%," $121,439 "," $(43,537)",,,,
148,1/14/21,youtube_blogger,influencer,10934,2165431," $190,223.27 ",21839,452,92,20.35%," $686,437 "," $496,214 ",,,,
149,1/14/21,instagram_tier1,social,9034945,2952199," $333,875.84 ",16690,587,74,12.61%," $350,973 "," $17,097 ",,,,
150,1/14/21,instagram_tier2,social,983498,4400434," $198,455.21 ",33020,819,49,5.98%," $132,845 "," $(65,610)",,,,
151,1/14/21,facebook_retargeting,social,4387490,46997," $4,005.95 ",1861,8,2,25.00%," $9,219 "," $5,213 ",,,,
152,1/14/21,facebook_lal,social,544756,490777," $152,442.50 ",8508,119,21,17.65%," $13,479 "," $(138,964)",,,,
153,1/14/21,instagram_blogger,influencer,374754,2297084," $194,385.41 ",16971,388,43,11.08%," $290,183 "," $95,798 ",,,,
154,1/14/21,banner_partner,media,39889,8592127," $209,432.73 ",24095,520,74,14.23%," $208,384 "," $(1,049)",,,,
155,1/15/21,facebook_tier1,social,349043,3060496," $156,763.52 ",19690,239,35,14.64%," $171,211 "," $14,447 ",,,,
156,1/15/21,facebOOK_tier2,social,348934,2874000," $552,405.19 ",20481,600,84,14.00%," $342,098 "," $(210,307)",,,,
157,1/15/21,google_hot,search,89459845,333329," $74,128.30 ",5297,146,15,10.27%," $156,124 "," $81,996 ",,,,
158,1/15/21,google_wide,search,127823,3375535," $146,087.95 ",16478,400,27,6.75%," $107,816 "," $(38,272)",,,,
159,1/15/21,youtube_blogger,influencer,10934,2727521," $126,716.85 ",32277,618,107,17.31%," $778,544 "," $651,827 ",,,,
160,1/15/21,instagram_tier1,social,9034945,4278321," $150,729.58 ",15698,309,47,15.21%," $268,735 "," $118,005 ",,,,
161,1/15/21,instagram_tier2,social,983498,7189032," $33,659.35 ",35406,993,12,1.21%," $24,830 "," $(8,829)",,,,
162,1/15/21,facebook_retargeting,social,4387490,69809," $12,304.79 ",2018,32,5,15.63%," $25,345 "," $13,040 ",,,,
163,1/15/21,facebook_lal,social,544756,900122," $6,536.63 ",9373,4,0,0.00%, $878 ," $(5,659)",,,,
164,1/15/21,instagram_blogger,influencer,374754,2083453," $71,458.33 ",22825,121,27,22.31%," $89,758 "," $18,300 ",,,,
165,1/15/21,banner_partner,media,39889,7619488," $505,357.16 ",28892,1003,177,17.65%," $837,030 "," $331,673 ",,,,
166,1/16/21,facebook_tier1,social,349043,3431913," $329,047.22 ",17887,397,63,15.87%," $380,379 "," $51,332 ",,,,
167,1/16/21,facebOOK_tier2,social,348934,4443483," $686,089.30 ",24730,952,83,8.72%," $393,045 "," $(293,044)",,,,
168,1/16/21,google_hot,search,89459845,398751," $91,797.16 ",7248,161,24,14.91%," $173,174 "," $81,377 ",,,,
169,1/16/21,google_wide,search,127823,3873544," $223,474.62 ",15415,725,59,8.14%," $193,987 "," $(29,488)",,,,
170,1/16/21,youtube_blogger,influencer,10934,4715433," $240,202.25 ",31696,743,112,15.07%," $883,834 "," $643,632 ",,,,
171,1/16/21,instagram_tier1,social,9034945,3502404," $138,503.79 ",21721,499,32,6.41%," $153,922 "," $15,418 ",,,,
172,1/16/21,instagram_tier2,social,983498,18342600," $110,443.69 ",40886,945,21,2.22%," $38,893 "," $(71,551)",,,,
173,1/16/21,facebook_retargeting,social,4387490,71263," $30,974.69 ",2376,53,11,20.75%," $63,969 "," $32,994 ",,,,
174,1/16/21,facebook_lal,social,544756,1552681," $304,605.68 ",8941,299,42,14.05%," $22,125 "," $(282,481)",,,,
175,1/16/21,instagram_blogger,influencer,374754,4140438," $672,822.77 ",21715,899,151,16.80%," $952,963 "," $280,140 ",,,,
176,1/16/21,banner_partner,media,39889,54372423," $213,562.13 ",28442,373,50,13.40%," $286,224 "," $72,662 ",,,,
177,1/17/21,facebook_tier1,social,349043,4728814," $446,636.61 ",25504,693,84,12.12%," $348,634 "," $(98,003)",,,,
178,1/17/21,facebOOK_tier2,social,348934,6811577," $374,339.21 ",33166,661,61,9.23%," $301,208 "," $(73,131)",,,,
179,1/17/21,google_hot,search,89459845,426283," $110,036.67 ",6803,167,36,21.56%," $271,826 "," $161,789 ",,,,
180,1/17/21,google_wide,search,127823,3666801," $166,830.47 ",24002,472,38,8.05%," $115,782 "," $(51,048)",,,,
181,1/17/21,youtube_blogger,influencer,10934,3643425," $355,343.94 ",34062,770,171,22.21%," $1,217,752 "," $862,408 ",,,,
182,1/17/21,instagram_tier1,social,9034945,4619985," $222,547.96 ",24776,513,70,13.65%," $539,394 "," $316,846 ",,,,
183,1/17/21,instagram_tier2,social,983498,35480948," $191,069.07 ",44815,811,54,6.66%," $121,420 "," $(69,649)",,,,
184,1/17/21,facebook_retargeting,social,4387490,72671," $31,658.43 ",3054,59,9,15.25%," $48,714 "," $17,056 ",,,,
185,1/17/21,facebook_lal,social,544756,1466419," $253,160.81 ",12374,202,30,14.85%," $28,592 "," $(224,569)",,,,
186,1/17/21,instagram_blogger,influencer,374754,2949298," $466,160.44 ",26833,714,137,19.19%," $692,744 "," $226,584 ",,,,
187,1/17/21,banner_partner,media,39889,18568797," $461,141.49 ",33108,854,169,19.79%," $468,298 "," $7,157 ",,,,
188,1/18/21,facebook_tier1,social,349043,5083356," $26,861.55 ",22911,71,5,7.04%," $27,565 ", $703 ,,,,
189,1/18/21,facebOOK_tier2,social,348934,5487093," $421,097.86 ",32943,1477,48,3.25%," $256,975 "," $(164,123)",,,,
190,1/18/21,google_hot,search,89459845,517717," $120,006.30 ",8383,147,27,18.37%," $222,224 "," $102,218 ",,,,
191,1/18/21,google_wide,search,127823,11143615," $236,471.14 ",21088,448,37,8.26%," $110,632 "," $(125,839)",,,,
192,1/18/21,youtube_blogger,influencer,10934,3450152," $82,772.11 ",47846,116,31,26.72%," $211,389 "," $128,617 ",,,,
193,1/18/21,instagram_tier1,social,9034945,9301180," $266,354.37 ",26987,529,77,14.56%," $347,889 "," $81,535 ",,,,
194,1/18/21,instagram_tier2,social,983498,11945966," $59,620.09 ",45416,947,15,1.58%," $29,515 "," $(30,105)",,,,
195,1/18/21,facebook_retargeting,social,4387490,81605," $20,122.02 ",2503,28,5,17.86%," $36,952 "," $16,830 ",,,,
196,1/18/21,facebook_lal,social,544756,1388120," $196,603.60 ",10248,142,16,11.27%," $19,166 "," $(177,438)",,,,
197,1/18/21,instagram_blogger,influencer,374754,2725139," $614,341.38 ",30487,915,147,16.07%," $690,339 "," $75,998 ",,,,
198,1/18/21,banner_partner,media,39889,399978147," $297,028.32 ",50164,954,97,10.17%," $454,121 "," $157,093 ",,,,
199,1/19/21,facebook_tier1,social,349043,13787492," $54,757.02 ",26217,73,10,13.70%," $47,653 "," $(7,104)",,,,
200,1/19/21,facebOOK_tier2,social,348934,6955400," $474,121.26 ",40465,840,62,7.38%," $343,159 "," $(130,962)",,,,
201,1/19/21,google_hot,search,89459845,379687," $10,543.81 ",10094,12,2,16.67%," $17,604 "," $7,060 ",,,,
202,1/19/21,google_wide,search,127823,9213016," $95,268.94 ",25256,259,18,6.95%," $61,827 "," $(33,442)",,,,
203,1/19/21,youtube_blogger,influencer,10934,3603338," $1,046,306.28 ",53560,1799,439,24.40%," $2,527,593 "," $1,481,287 ",,,,
204,1/19/21,instagram_tier1,social,9034945,6829250," $348,945.13 ",33047,1269,104,8.20%," $578,804 "," $229,859 ",,,,
205,1/19/21,instagram_tier2,social,983498,12268277," $8,402.32 ",65766,153,3,1.96%," $4,049 "," $(4,353)",,,,
206,1/19/21,facebook_retargeting,social,4387490,101165," $3,791.95 ",2898,8,0,0.00%," $5,326 "," $1,534 ",,,,
207,1/19/21,facebook_lal,social,544756,1168171," $461,221.27 ",12254,242,41,16.94%," $71,621 "," $(389,600)",,,,
208,1/19/21,instagram_blogger,influencer,374754,3486776," $326,090.66 ",29193,675,109,16.15%," $578,507 "," $252,416 ",,,,
209,1/19/21,banner_partner,media,39889,18315202," $544,689.51 ",38790,777,140,18.02%," $545,703 "," $1,013 ",,,,
210,1/20/21,facebook_tier1,social,349043,9112989," $65,422.64 ",26241,96,12,12.50%," $71,021 "," $5,598 ",,,,
211,1/20/21,facebOOK_tier2,social,348934,9390390," $387,809.94 ",37615,842,57,6.77%," $326,834 "," $(60,976)",,,,
212,1/20/21,google_hot,search,89459845,568510," $186,333.91 ",10906,305,45,14.75%," $424,888 "," $238,554 ",,,,
213,1/20/21,google_wide,search,127823,6470206," $453,089.78 ",34413,722,86,11.91%," $230,673 "," $(222,417)",,,,
214,1/20/21,youtube_blogger,influencer,10934,5105285," $271,843.19 ",48346,980,209,21.33%," $1,481,335 "," $1,209,492 ",,,,
215,1/20/21,instagram_tier1,social,9034945,8079178," $413,943.12 ",29204,909,117,12.87%," $874,522 "," $460,579 ",,,,
216,1/20/21,instagram_tier2,social,983498,10974730," $143,152.16 ",53350,1189,46,3.87%," $84,184 "," $(58,968)",,,,
217,1/20/21,facebook_retargeting,social,4387490,120499," $73,401.63 ",3716,94,26,27.66%," $115,008 "," $41,606 ",,,,
218,1/20/21,facebook_lal,social,544756,959896," $142,438.09 ",16512,94,14,14.89%," $19,777 "," $(122,661)",,,,
